Starting negotiation session.
Round 1
  Turn 1: Party 1       (Offer: Bid[Pie: a994, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a2, ])
Round 2
  Turn 1: Party 1       (Offer: Bid[Pie: a996, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a5, ])
Round 3
  Turn 1: Party 1       (Offer: Bid[Pie: a971, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a21, ])
Round 4
  Turn 1: Party 1       (Offer: Bid[Pie: a971, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a19, ])
Round 5
  Turn 1: Party 1       (Offer: Bid[Pie: a991, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a38, ])
Round 6
  Turn 1: Party 1       (Offer: Bid[Pie: a957, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a36, ])
Round 7
  Turn 1: Party 1       (Offer: Bid[Pie: a994, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a14, ])
Round 8
  Turn 1: Party 1       (Offer: Bid[Pie: a982, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a49, ])
Round 9
  Turn 1: Party 1       (Offer: Bid[Pie: a990, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a1, ])
Round 10
  Turn 1: Party 1       (Offer: Bid[Pie: a958, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a49, ])
Round 11
  Turn 1: Party 1       (Offer: Bid[Pie: a996, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a93, ])
Round 12
  Turn 1: Party 1       (Offer: Bid[Pie: a998, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a27, ])
Round 13
  Turn 1: Party 1       (Offer: Bid[Pie: a949, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a35, ])
Round 14
  Turn 1: Party 1       (Offer: Bid[Pie: a916, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a95, ])
Round 15
  Turn 1: Party 1       (Offer: Bid[Pie: a986, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a33, ])
Round 16
  Turn 1: Party 1       (Offer: Bid[Pie: a951, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a75, ])
Round 17
  Turn 1: Party 1       (Offer: Bid[Pie: a939, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a72, ])
Round 18
  Turn 1: Party 1       (Offer: Bid[Pie: a949, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a41, ])
Round 19
  Turn 1: Party 1       (Offer: Bid[Pie: a983, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a37, ])
Round 20
  Turn 1: Party 1       (Offer: Bid[Pie: a951, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a52, ])
Round 21
  Turn 1: Party 1       (Offer: Bid[Pie: a978, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a46, ])
Round 22
  Turn 1: Party 1       (Offer: Bid[Pie: a977, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a36, ])
Round 23
  Turn 1: Party 1       (Offer: Bid[Pie: a938, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a78, ])
Round 24
  Turn 1: Party 1       (Offer: Bid[Pie: a999, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a59, ])
Round 25
  Turn 1: Party 1       (Offer: Bid[Pie: a957, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a67, ])
Round 26
  Turn 1: Party 1       (Offer: Bid[Pie: a965, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a12, ])
Round 27
  Turn 1: Party 1       (Offer: Bid[Pie: a981, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a52, ])
Round 28
  Turn 1: Party 1       (Offer: Bid[Pie: a941, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a88, ])
Round 29
  Turn 1: Party 1       (Offer: Bid[Pie: a921, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a12, ])
Round 30
  Turn 1: Party 1       (Offer: Bid[Pie: a971, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a4, ])
Round 31
  Turn 1: Party 1       (Offer: Bid[Pie: a904, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a45, ])
Round 32
  Turn 1: Party 1       (Offer: Bid[Pie: a981, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a86, ])
Round 33
